ORF Localization
YLR438W nucleus:cytosol
YOR283W cytosol
YDL212W ER
YBR171W ER
YKL112W nucleus
YOL010W nucleus
YAR002C-A vacuole_membrane
YPL082C nucleus
YBR105C nucleus:cytosol
YLR330W punctate
YOR198C ER
YLR372W ER
YIR006C punctate
YNR051C cytosol
YMR315W cytosol
YHR042W ER
YJL104W mitochondria
YER154W mitochondria
YKL029C mitochondria
YMR256C mitochondria
YMR015C ER
YOL041C nucleolus
YPR016C nucleus
YML069W nucleus
YMR027W cytosol
YMR145C mitochondria
YPL239W cytosol
YDR361C nucleus
YDR060W nucleolus
YHR024C mitochondria
YBR149W cytosol
YLR291C punctate:cytosol
YML018C vacuole_membrane
YGL040C cytosol
YFL022C cytosol
YNL153C cytosol
YLR203C mitochondria
YER122C punctate
YEL001C ER
YDL123W vacuole_membrane
YPL252C mitochondria
YIL035C nucleus:cytosol
YDR098C cytosol:nucleus
YMR295C cell_periphery
YBR207W vacuole_membrane
YBR177C ER
YHR055C cytosol
YDR168W cytosol
YDR297W ER
YNL307C cytosol
YOR286W mitochondria
YHR026W ER
YER031C cytosol
YOR340C nucleolus
YBL064C mitochondria
YPL212C nucleus
YCR020W-B nucleus
YNL175C nucleus
YPL178W nucleus
YDR293C cytosol
YPL063W mitochondria
YGL056C cytosol
YBR084W mitochondria
YJL069C nucleolus
YPL226W cytosol
YGR116W nucleus
YDL178W mitochondria
YPR122W punctate
YER151C cytosol
YDR054C nucleus
YPL210C ER
YLR262C cytosol
YIL091C nucleolus
YLR221C nucleolus
YLR064W ER
YHR069C nucleus
YBR159W ER
YHR096C cell_periphery
YNL207W cytosol
YJL010C nucleolus
YJL140W nucleus
YDL222C punctate
YMR071C punctate
YGR119C nuclear_periphery
YGR248W cytosol
YGR183C mitochondria
YKL040C mitochondria
YBL033C cytosol
YBR080C punctate
YEL011W punctate:cytosol
YOR260W cytosol
YNL001W cytosol
YLR429W punctate
YMR109W punctate
YJL124C cytosol
YDR449C nucleolus
YJL033W nucleolus
YLR059C nucleus:mitochondria
YPL091W cytosol:mitochondria
YDL110C cytosol
YOR142W mitochondria
YDL226C punctate:cytosol
YLR335W nuclear_periphery
YNL308C nucleus:cytosol
YPR133C nucleus
YNL118C cytosol
YHR098C punctate
YOR241W punctate:cytosol
YGL043W nucleus
YHL021C mitochondria
YOR323C cytosol
YJR088C ER
YOR116C nucleus
YGL238W nucleus
YDR032C punctate
YAL007C punctate:ER
YNL071W mitochondria
YNL232W nucleus
YER089C nucleus:cytosol
YCL057W cytosol
YBR244W cytosol
YLR419W nucleus
YIL027C ER
YDR148C mitochondria
YMR311C nucleus:cytosol
YKL014C nucleolus
YMR128W nucleolus
YJL097W ER
YGL070C nucleus
YBR052C punctate
YKR035W-A punctate
YPL215W mitochondria
YER125W nucleus
YLR384C cytosol
YKL024C cytosol
YJL060W cytosol:mitochondria
YGL012W ER
YEL027W punctate
YDL236W cytosol
YGL092W nuclear_periphery
YDR044W cytosol
YER068W cytosol
YHR197W nucleus
YNL239W cytosol:mitochondria
YPR060C cytosol
YJR076C bud_neck
YER007C-A cytosol
YBR208C cytosol
YPL204W nucleus:cytosol
YGR078C cytosol
YHR066W nucleus
YNL005C mitochondria
YLR113W cytosol
YKR018C cytosol
YOL098C cytosol
YKL077W punctate
YPL243W cytosol
YOL145C nucleus
YHR162W mitochondria
YJL055W cytosol
YNL284C mitochondria
YNL138W punctate:cytosol
YDR036C mitochondria
YOR215C mitochondria
YJL123C punctate
YFL010C nucleus:cytosol
YPR034W nucleus
YNL173C punctate
YDR302W ER
YCR035C nucleus
YBL058W nucleus:cytosol
YLR270W cytosol
YGL244W nucleus
YDL181W mitochondria
YDL092W ER
YNL112W nucleus:cytosol
YBR049C nucleus
YBL026W nucleus:cytosol
YDL060W nucleus:cytosol
YKL021C nucleus
YMR174C cytosol
YCR003W mitochondria
YPL183W-A mitochondria
YBR291C mitochondria
YGR229C punctate
YGR081C nucleus
YGL107C mitochondria
YBR142W nucleus
YDR477W cytosol
YKL004W punctate
YLL048C vacuole_membrane
YNL197C cytosol
YPL184C cytosol
YBR169C cytosol
YPR143W nucleus
YFL016C mitochondria
YMR193W nucleolus
YDL205C cytosol
YOR086C cell_periphery
YER159C nucleus
YKL007W punctate
YIL138C cytosol
YHR037W mitochondria
YGL020C ER
YOL142W nucleus
YGR123C cytosol
YLL039C cytosol
YDR397C nucleus
YDL122W cytosol
YDR161W nucleus
YOR207C nucleus
YGR286C mitochondria
YIL126W nucleus
YGR200C cytosol
YPR113W punctate:ER
YGL172W nuclear_periphery
YFR044C cytosol:mitochondria
YGR271C-A nucleolus
YNL149C ER
YIL016W ER
YBL042C cell_periphery
YDR056C ER
YMR226C cytosol
YDR296W mitochondria
YPR127W cytosol
YLL018C-A cytosol
YGL252C cytosol
YGR121C cell_periphery
YFR024C-A cytosol
YNL280C ER
YKL142W cytosol
YOR051C nucleus
YGR267C cytosol
YNR017W mitochondria
YBR036C ER:vacuole
YPR072W cytosol
YML075C nuclear_periphery
YBR006W cytosol
YOR039W nucleus
YLL027W mitochondria
YDL116W nuclear_periphery
YCR077C cytosol
YMR014W nucleolus
YML035C cytosol
YNL194C cell_periphery
YJR069C cytosol
YJR109C cytosol
YLR022C cytosol
YLR100W punctate
YPL009C cytosol
YMR125W nucleus
YPL169C nuclear_periphery
YMR080C cytosol
YOR158W mitochondria
YKR025W nucleus
YBR135W nucleus:cytosol
YOR148C below_threshold
YML127W nucleus
YDL121C ER
YDR264C punctate
YGL014W cytosol
YDR177W nucleus:cytosol
YNL186W nucleus
YGR178C cytosol:nucleus
YFL026W vacuole:cell_periphery
YGL157W cytosol
YHR163W cytosol
YML038C punctate
YPL059W mitochondria
YDL150W nucleus
YKL154W ER
YJL076W nucleolus
YBR279W nucleus
YOR185C nucleus:cytosol
