ORF	EL	MM
YER002W	5.822	0.173
YIR030C	0.315	0.114
YNR040W	0.716	0.081
YDR130C	0.731	0.091
YEL007W	1.498	0.096
YBR263W	9.552	0.127
YIL169C	0.635	0.406
YMR042W	0.557	0.066
YDR485C	0.422	0.082
YGR194C	0.295	0.066
YLR438C-A	7.952	0.11
YHR013C	5.023	0.069
YLR446W	0.156	0.071
YJL072C	1.011	0.083
YNR056C	0.002	0.081
YOR073W	0.24	0.069
YNL216W	2.587	0.089
YPR025C	0.701	0.064
YKR081C	5.888	0.1
YBL037W	0.489	0.072
YKL116C	0.557	0.077
YPL103C	0.375	0.073
YMR112C	1.665	0.064
YDR295C	0.43	0.071
YNL218W	0.355	0.078
YIL134W	0.209	0.106
YOL092W	4.25	0.088
YGL033W	0.038	0.079
YLR395C	8.531	0.128
YFL018C	8.343	0.098
YJL095W	0.201	0.082
YBR290W	1.047	0.105
YDR407C	0.34	0.088
YJR074W	1.577	0.073
YJL163C	0.126	0.073
YOR161C-C	0.007	0.095
YBR087W	1.608	0.069
YAL062W	0.062	0.09
YAL044W-A	7.662	0.069
YHL003C	3.062	0.09
YDL097C	7.628	0.075
YDR479C	0.314	0.075
YAR028W	1.004	0.123
YDR153C	2.164	0.095
YLR286C	29.909	0.158
YMR192W	0.727	0.086
YNL059C	1.049	0.09
YLL029W	1.564	0.071
YGR275W	3.661	0.053
YMR136W	0.417	0.08
YOR122C	37.586	0.145
YDR079W	1.481	0.118
YOR091W	5.083	0.105
YKL023W	0.861	0.094
YLR320W	0.032	0.086
YLR203C	1.768	0.083
YAR071W	0.317	0.991
YBR088C	20.684	0.098
YGR003W	0.366	0.074
YNL138W	10.001	0.105
YPR188C	2.56	0.101
YMR239C	0.658	0.101
YOR207C	1.345	0.078
YGL183C	0.008	0.074
YPL268W	0.126	0.081
YDR034C	0.473	0.087
YJL061W	0.87	0.056
YMR043W	2.397	0.201
YDR246W-A	0.057	0.066
YGR169C	0.253	0.073
YLR119W	0.622	0.058
YOL069W	0.434	0.083
YGR243W	0.243	0.059
YLR356W	1.382	0.105
YPL145C	6.339	0.11
YOR246C	1.287	0.066
YLR281C	0.222	0.066
YFR049W	3.921	0.073
YGL187C	5.195	0.102
YDL090C	0.591	0.066
YML037C	0.202	0.074
YDR448W	0.666	0.074
YDL160C-A	1.93	0.06
YKL174C	0.734	0.077
YKL071W	0.031	0.048
YOL077C	6.563	0.109
YJR107W	0.002	0.086
YCR051W	4.61	0.093
YIR035C	1.548	0.069
YPR170W-B	71.633	0.147
YJL035C	0.371	0.062
YKR077W	0.802	0.085
YBR214W	1.032	0.071
YHR035W	0.072	0.062
YHR045W	0.728	0.069
YGL023C	0.88	0.071
YOR087W	0.855	0.075
YMR215W	4.707	0.078
YDL239C	0.004	0.073
YCR044C	1.162	0.069
YKL130C	2.096	0.071
YLR191W	0.669	0.066
YGL090W	0.089	0.084
YPL188W	1.006	0.073
YKL193C	1.624	0.091
YCR005C	3.964	0.089
YDL129W	0.383	0.066
YDL219W	3.208	0.11
YGL237C	0.701	0.129
YOR280C	1.386	0.075
YIR013C	0.011	0.075
YJR041C	0.788	0.081
YBR047W	0.429	0.056
YJL060W	2.044	0.078
YDL008W	1.138	0.083
YBL100W-C	0.008	0.128
YLR081W	0.075	0.121
YOR212W	2.158	0.086
YGR065C	0.685	0.08
YNL136W	0.398	0.082
YDL140C	3.799	0.121
YOL141W	0.398	0.063
YGR157W	3.105	0.074
YCR091W	0.081	0.077
YOR052C	4.429	0.087
YLR361C	0.511	0.078
YMR316W	0.383	0.186
YNL166C	2.456	0.106
YAR031W	0.213	0.412
YNL016W	19.185	0.176
YNL037C	9.406	0.083
YBR130C	1.685	0.077
YPR155C	0.349	0.059
YIL066C	0.109	0.107
YDR425W	0.405	0.084
YDR068W	1.542	0.096
YJR047C	3.903	0.62
YDR527W	2.255	0.09
YDR333C	0.936	0.077
YJR103W	1.31	0.075
YOR361C	10.989	0.118
YDR267C	1.096	0.076
YIL048W	0.533	0.067
YOR293C-A	0.011	0.126
YGL206C	7.749	0.099
YLR064W	1.651	0.096
YPR153W	0.321	0.051
YLL028W	1.413	0.078
YCR095W-A	0.001	0.172
YPR115W	0.258	0.085
YKL194C	0.371	0.075
YNL087W	1.674	0.096
YHR074W	2.419	0.086
YMR293C	0.164	0.067
YER021W	5.09	0.081
YNL192W	1.048	0.108
YBR295W	0.073	0.071
YMR175W-A	0.021	0.044
YIL061C	0.618	0.072
YBR005W	0.62	0.072
YMR184W	2.24	0.077
YLR447C	13.457	0.133
YIL029C	0.015	0.067
YMR290C	8.433	0.105
YCL032W	0.53	0.062
YJR053W	0.324	0.073
YJL206C	0.115	0.067
YNR015W	1.134	0.083
YDL229W	98.804	0.961
YFL034W	0.402	0.096
YBR120C	1.184	0.087
YJL081C	1.115	0.08
YNL042W	0.186	0.087
YBR095C	0.672	0.079
YDL212W	7.923	0.083
YPL027W	0.003	0.068
YLR441C	93.04	0.778
YIL097W	0.178	0.067
YKR065C	5.143	0.081
YJL149W	0.391	0.075
YDL188C	1.6	0.462
YJL145W	4.345	0.124
YML085C	8.33	0.152
YDR184C	1.017	0.071
YDR387C	0.133	0.075
YHL033C	59.503	0.896
YMR139W	0.882	0.07
YDR076W	0.119	0.072
YMR236W	4.388	0.074
YJR127C	0.226	0.073
YLR175W	16.774	0.173
YDR516C	2.197	0.076
YGL007C-A	0.034	0.086
YGL103W	576.815	0.358
YJR110W	0.207	0.094
YIL068C	0.642	0.067
YHR086W-A	0.001	0.102
YJL005W	0.375	0.076
YMR135C	0.482	0.078
YIL166C	0.026	0.078
YDL232W	8.431	0.168
YJL161W	0.136	0.068
YIL120W	0.044	0.079
YLR046C	0.007	0.05
YCR084C	3.947	0.096
YDR032C	14.231	0.126
YHR034C	0.788	0.089
YMR088C	0.742	0.085
YIR027C	0.023	0.073
YIL064W	1.776	0.111
YDR452W	1.344	0.092
YKL085W	5.469	0.117
YER094C	9.806	0.076
YHL014C	0.213	0.077
YDR013W	0.783	0.074
YGR130C	2.532	0.104
YGL039W	2.778	0.081
YPL146C	2.481	0.125
YOR310C	14.549	0.173
YJL045W	0.02	0.079
YMR228W	0.686	0.073
YHR076W	1.617	0.081
YNL011C	0.304	0.074
YAL001C	0.348	0.082
YFL059W	0.022	0.693
YKL160W	6.728	0.125
YGL081W	0.079	0.073
YKL161C	0.02	0.059
YDL225W	1.953	0.098
YMR304W	0.716	0.086
YLR426W	0.444	0.096
YGR236C	0.01	0.041
YPL194W	0.166	0.071
YGR200C	2.054	0.101
YOR340C	5.479	0.09
YIL018W	89.575	0.93
YCR047C	3.783	0.084
YDL173W	6.125	0.114
YHR214C-B	0.069	0.235
YDL077C	0.271	0.089
YDR347W	1.309	0.089
YPL126W	2.362	0.079
YDL051W	19.209	0.098
YFL001W	0.638	0.088
YPR138C	0.497	0.074
YBR233W-A	1.558	0.068
YMR058W	16.679	0.103
YCR073W-A	2.313	0.091
YDL143W	8.079	0.105
YFL029C	0.477	0.075
YHR106W	0.354	0.075
YLR375W	1.076	0.071
YKL181W	6.95	0.111
YCL035C	14.095	0.101
YBR067C	24.591	0.218
YGR110W	0.044	0.053
YBR165W	0.748	0.072
YGL194C	0.728	0.076
YNL297C	0.649	0.09
YGL104C	0.182	0.051
YLR234W	0.169	0.066
YIR015W	0.573	0.074
YNL068C	0.561	0.063
YLR228C	0.363	0.085
YOL053W	0.262	0.07
YHR020W	15.931	0.124
YHR157W	0.028	0.059
YIL045W	0.227	0.08
YER125W	3.998	0.074
YBR284W	0.023	0.066
YLR048W	109.533	0.727
YPL009C	1.585	0.136
YKL034W	0.548	0.062
YOR129C	0.106	0.06
YDL083C	108.389	0.85
YNL029C	0.256	0.076
YJL127C-B	1.097	0.11
YDL226C	6.452	0.078
YLR150W	153.074	0.295
YHR143W	10.911	0.146
YBR152W	0.365	0.074
YBL091C-A	0.845	0.083
YGR179C	0.447	0.087
YIL087C	0.9	0.044
YER086W	5.637	0.095
YOR002W	1.286	0.077
YOL006C	1.497	0.099
YLR251W	0.183	0.075
YML047C	0.009	0.08
YGL201C	1.041	0.076
YOL116W	0.413	0.081
YKR080W	3.748	0.081
YIR037W	13.313	0.114
YOL057W	1.712	0.07
YBR137W	2.939	0.054
YNL073W	0.312	0.064
YER143W	1.568	0.088
YOR326W	2.004	0.089
YDR420W	0.125	0.224
YGR088W	0.076	0.067
YPR110C	8.471	0.076
YIL147C	0.344	0.084
YBR264C	1.041	0.093
YOR023C	0.594	0.092
YNL115C	0.685	0.07
YOR323C	11.438	0.12
YGR078C	5.424	0.097
YLR042C	0.997	0.084
YKL150W	2.36	0.065
YER009W	47.084	0.122
YNL207W	2.197	0.084
YMR261C	1.727	0.085
YMR318C	13.165	0.113
YDR092W	6.887	0.097
YPL119C	0.145	0.085
YPL095C	0.319	0.082
YLR398C	1.224	0.074
YDL045W-A	3.365	0.068
YBR029C	2.164	0.079
YCL057C-A	9.034	0.082
YDL189W	1.049	0.071
YKL114C	1.887	0.092
YPR151C	0.053	0.071
YGR098C	0.158	0.082
YEL064C	0.234	0.066
YHR199C	1.194	0.079
YOR208W	0.126	0.091
YDR324C	1.869	0.086
YBR151W	2.105	0.067
YHR160C	0.017	0.072
YAL064W-B	0.0	0.188
YLR108C	0.458	0.072
YPL105C	1.2	0.092
YDR064W	268.767	0.334
YDL248W	0.065	0.862
YNL209W	36.854	0.954
YER127W	2.507	0.064
YPL233W	0.763	0.064
YDL230W	0.579	0.062
YFL033C	0.215	0.081
YPR078C	0.001	0.069
YOR288C	0.994	0.075
YAL051W	0.379	0.071
YMR292W	3.538	0.091
YOL136C	0.608	0.072
YIR006C	3.676	0.136
YKL197C	0.283	0.087
YOR189W	2.418	0.108
YPL058C	0.841	0.083
YLR418C	2.437	0.071
YDR322C-A	4.812	0.107
YFR051C	4.579	0.104
YDL019C	0.787	0.083
YMR279C	0.008	0.055
YMR099C	9.616	0.076
YMR147W	0.7	0.097
YDL063C	2.062	0.072
YJL126W	0.494	0.055
YIL102C	0.001	0.056
YPR105C	0.497	0.081
YOR020C	40.617	0.119
YMR319C	1.409	0.094
YGL154C	0.152	0.084
YKR022C	0.407	0.125
YDR222W	0.738	0.095
YGR247W	0.725	0.086
YOR237W	0.118	0.087
YAL025C	3.707	0.113
YPL040C	0.164	0.067
YGR171C	0.217	0.076
YIL142W	10.805	0.097
YNL064C	32.625	0.157
YMR212C	0.893	0.083
YPR089W	0.765	0.088
YGL016W	1.038	0.084
YKL204W	2.51	0.094
YDR341C	12.005	0.102
YLR144C	0.596	0.074
YMR067C	1.342	0.076
YLR433C	1.158	0.09
YPL236C	0.262	0.064
YCR067C	1.02	0.093
YGR181W	8.908	0.136
YBR191W	98.073	0.871
YDR377W	10.47	0.12
YKL113C	1.681	0.099
YJL137C	0.449	0.081
YML043C	0.151	0.069
YLR164W	0.029	0.073
YLR032W	0.368	0.076
YMR243C	5.413	0.091
YGL170C	0.005	0.081
YJR099W	1.41	0.072
YLR102C	0.641	0.069
YOL114C	0.177	0.076
YFL060C	0.005	0.459
YPL264C	0.126	0.068
YML014W	1.747	0.061
YDL079C	0.012	0.063
YML129C	6.546	0.101
YFR014C	0.672	0.062
YLR453C	0.108	0.083
YLR293C	71.145	0.299
YMR196W	0.256	0.078
YBR173C	8.68	0.081
YGR264C	12.723	0.108
YHR183W	59.295	0.172
YMR110C	1.318	0.094
YGR014W	1.855	0.138
YMR150C	1.041	0.066
YGR204C-A	0.007	0.043
YMR307W	58.47	0.167
YLL005C	0.0	0.088
YLR254C	0.561	0.082
YOL033W	0.228	0.08
YLR129W	1.576	0.086
YGL243W	0.266	0.079
YJL093C	0.178	0.071
YLR330W	2.428	0.158
YDR145W	1.794	0.139
YPL160W	14.295	0.133
YLR285W	3.278	0.074
YHR128W	14.371	0.106
YDR280W	2.059	0.085
YMR316C-A	0.011	0.384
YMR080C	1.517	0.087
YGL047W	0.94	0.085
YER068W	1.656	0.068
YLR448W	94.916	0.751
YER037W	0.584	0.075
YER048C	5.435	0.111
YDL053C	3.428	0.087
YNL078W	1.043	0.079
YCL034W	2.306	0.082
YLR257W	5.565	0.089
YPL098C	7.061	0.178
YPR144C	1.41	0.065
YPL150W	0.224	0.078
YJL048C	0.349	0.065
YDR523C	0.007	0.075
YOR085W	4.33	0.062
YKL101W	0.654	0.084
YJR094C	0.23	0.069
YCL001W	4.917	0.084
YAL037W	0.035	0.066
YER187W	0.003	0.04
YGL117W	0.214	0.07
YGL045W	0.14	0.078
YBR301W	0.016	0.312
YER166W	1.009	0.087
YGR012W	0.976	0.068
YGR279C	42.828	0.16
YPL176C	0.79	0.073
YDR524C-B	409.179	0.494
YBL038W	1.697	0.081
YBL076C	17.03	0.125
YLR329W	0.013	0.054
YGL004C	0.439	0.083
YDL139C	0.364	0.068
YDR074W	1.565	0.071
YCR045C	0.003	0.071
YDR065W	0.158	0.071
YNL097C	0.844	0.061
YOL117W	0.152	0.09
YKL099C	2.99	0.117
YGR280C	2.948	0.107
YGR284C	6.364	0.078
YLR205C	0.399	0.066
YCR028C-A	15.907	0.171
YPR162C	0.546	0.092
YER058W	0.782	0.072
YNL084C	3.957	0.1
YDR223W	0.021	0.085
YDR361C	4.372	0.108
YPR086W	2.61	0.093
YBL099W	22.045	0.089
YJL167W	18.011	0.117
YOL140W	0.291	0.069
YMR237W	2.065	0.083
YEL066W	3.131	0.215
YDR300C	2.754	0.077
YFL011W	0.005	0.07
YMR270C	0.307	0.055
YNR002C	0.02	0.078
YER055C	14.489	0.085
YMR006C	2.606	0.115
YJR160C	0.0	0.17
YLR304C	14.519	0.133
YGR096W	0.154	0.084
YLR181C	1.227	0.096
YDR337W	1.43	0.093
YDR016C	2.003	0.052
YBR076W	0.01	0.086
YER047C	0.293	0.092
YBR204C	0.558	0.065
YGR049W	1.653	0.056
YCR100C	0.002	0.069
YBR129C	0.635	0.077
YJL063C	2.061	0.095
YOR371C	0.334	0.074
YER003C	11.671	0.111
YFR028C	1.231	0.074
YKL216W	35.731	0.149
YER138W-A	0.016	0.836
YML108W	2.293	0.1
YKR066C	4.506	0.103
YEL063C	2.114	0.078
YHR155W	0.217	0.09
YCL064C	13.822	0.118
YJR010W	0.588	0.072
YGR071C	0.241	0.083
YBR118W	44.248	1.0
YKR075C	0.526	0.076
YGL236C	0.362	0.242
YOL104C	0.005	0.04
YJR004C	0.032	0.07
YDL194W	0.055	0.075
YOR346W	0.461	0.091
YOL071W	1.227	0.06
YBL092W	264.111	0.379
YPL123C	0.379	0.07
YHR037W	2.122	0.081
YJL074C	0.741	0.082
YIL006W	0.109	0.054
YLR030W	0.024	0.128
YHL030W	1.059	0.085
YGL190C	1.162	0.067
YPL117C	8.063	0.112
YDR107C	0.5	0.08
YLL024C	90.324	0.94
YDR319C	0.403	0.093
YFR042W	1.049	0.076
YLR114C	0.791	0.111
YDR314C	0.059	0.088
YOL015W	0.002	0.069
YER117W	113.624	0.812
YDR247W	0.236	0.059
YJR082C	1.084	0.102
YJR112W-A	0.638	0.086
YNL128W	0.021	0.078
YPR135W	0.74	0.083
YMR061W	0.915	0.074
YPL166W	0.336	0.084
YBR136W	0.105	0.072
YJR069C	7.543	0.135
YDR012W	11.712	0.978
YJR079W	0.001	0.63
YLR071C	0.634	0.08
YOR369C	226.18	0.341
YLR246W	0.112	0.067
YEL059C-A	0.563	0.061
YCL001W-A	0.003	0.088
YLR210W	0.453	0.07
YMR076C	0.653	0.09
YBR283C	8.319	0.107
YPR002W	0.123	0.093
YGR108W	1.047	0.089
YMR229C	5.61	0.101
YML117W	0.852	0.081
YDR075W	0.767	0.079
YOR241W	1.311	0.07
YDR096W	0.351	0.078
YDL166C	3.55	0.102
YPR157W	0.056	0.085
YNR017W	5.583	0.09
YDR178W	3.277	0.116
YGR125W	0.594	0.077
YGR166W	0.329	0.073
YPL075W	0.231	0.073
YOR056C	2.063	0.075
YEL056W	1.015	0.064
YCR043C	4.569	0.109
YMR071C	4.459	0.076
YGR091W	0.364	0.074
YML051W	0.207	0.055
YOR061W	3.309	0.078
YOR376W-A	0.001	0.062
YGL179C	0.165	0.07
YGR255C	0.75	0.069
YOR096W	168.138	0.59
YJL077W-A	0.629	0.5
YGL083W	0.382	0.081
YJL196C	5.329	0.088
YGL255W	1.741	0.066
YPR069C	17.907	0.126
YNL161W	0.965	0.108
YPL209C	0.273	0.066
YFL016C	1.574	0.091
YDL046W	8.099	0.1
YBR275C	0.255	0.095
YHR069C	1.79	0.077
YMR116C	177.047	0.274
YOR336W	0.565	0.077
YGR033C	1.661	0.066
YNL009W	0.066	0.07
YDR281C	1.528	0.078
YBR257W	0.831	0.103
YPL183C	1.07	0.092
YAR019C	0.158	0.081
YER063W	5.424	0.105
YOR034C	0.362	0.083
YLR051C	2.636	0.123
YDR469W	1.36	0.071
YIL156W	0.237	0.086
YDR328C	15.548	0.107
YOR284W	0.38	0.062
YER163C	1.002	0.073
YNL023C	0.487	0.077
YOL005C	7.957	0.068
YOR257W	2.397	0.091
YML071C	0.731	0.086
YDR403W	0.026	0.064
YPR029C	1.02	0.078
YER073W	5.481	0.11
YKL124W	0.281	0.075
YJL108C	0.005	0.064
YHR096C	0.024	0.162
YLL046C	0.023	0.131
YLR072W	0.477	0.083
YGL220W	4.394	0.067
YFL036W	0.586	0.074
YML095C	0.459	0.051
YHR159W	0.254	0.075
YBL089W	0.349	0.07
YOR178C	0.008	0.072
YJL176C	1.672	0.086
YLR085C	0.497	0.075
YGR044C	1.448	0.067
YMR094W	0.117	0.071
YLR324W	0.862	0.08
YGL064C	0.366	0.091
YDR212W	8.37	0.098
YCR088W	14.631	0.117
YML064C	0.812	0.057
YOR335C	15.7	0.116
YNL026W	0.851	0.067
YNL148C	0.598	0.074
YBR154C	11.125	0.13
YKR096W	0.343	0.086
YOR099W	6.998	0.116
YJR148W	14.222	0.11
YKR092C	9.41	0.185
YOR115C	1.069	0.068
YER034W	1.448	0.101
YBR171W	4.955	0.09
YIL069C	37.381	0.937
YGR241C	1.152	0.097
YEL061C	0.369	0.085
YBR250W	0.012	0.071
YCR106W	0.075	0.073
YGR271W	0.353	0.084
YPL106C	53.969	0.194
YBR216C	0.624	0.069
YGL095C	0.708	0.062
YMR102C	0.453	0.071
YDR390C	1.016	0.083
YBR006W	0.432	0.068
YPL203W	0.929	0.076
YFL052W	0.015	0.062
YIL010W	2.928	0.097
YLR316C	1.018	0.081
YOL143C	20.645	0.171
YBR054W	1.149	0.18
YDR338C	0.285	0.055
YEL072W	0.059	0.06
YLR077W	0.519	0.088
YML048W	5.511	0.081
YOR063W	221.817	0.337
YKL159C	0.675	0.056
YCR090C	2.355	0.067
YNR036C	5.53	0.053
YBL060W	0.243	0.07
YMR046C	0.662	0.975
YGR021W	0.515	0.071
YMR285C	0.892	0.075
YGR068C	0.344	0.074
YIR042C	0.059	0.074
YPL161C	0.428	0.073
YDR168W	5.086	0.11
YMR155W	0.315	0.062
YER103W	0.638	0.166
YDR005C	0.69	0.076
YPL045W	0.329	0.077
YBR279W	2.033	0.083
YCR065W	1.308	0.081
YGR201C	0.163	0.067
YER083C	3.767	0.077
YMR037C	0.978	0.087
YDL195W	5.508	0.104
YDL193W	2.031	0.09
YMR016C	0.803	0.083
YFR010W	4.514	0.079
YFR027W	0.381	0.09
YGL160W	0.618	0.074
YJL044C	0.742	0.095
YGR013W	0.485	0.087
YBR230C	3.693	0.049
YPR058W	2.746	0.093
YHR086W	0.715	0.096
YGL250W	0.346	0.065
YOR157C	8.95	0.081
YLR001C	0.366	0.073
YNL190W	12.488	0.586
YER113C	0.499	0.085
YOR075W	0.764	0.073
YMR032W	0.469	0.066
YGR209C	51.42	0.16
YLL007C	0.258	0.071
YDR472W	1.223	0.074
YGL181W	2.11	0.129
YOR342C	1.164	0.068
YKL172W	6.783	0.161
YBL044W	0.004	0.086
YNL320W	0.939	0.073
YLR387C	2.596	0.09
YNL295W	0.292	0.07
YPR016C	11.497	0.109
YOL138C	0.147	0.094
YJR056C	0.814	0.089
YGR138C	0.164	0.631
YGR057C	0.306	0.083
YJR135C	0.238	0.069
YEL060C	3.382	0.092
YKR013W	12.522	0.122
YDR259C	0.075	0.083
YOL076W	1.295	0.068
YHL044W	0.147	0.092
YOR078W	2.382	0.092
YKR088C	1.481	0.07
YKL164C	32.187	0.665
YNL177C	1.735	0.082
YGL141W	0.371	0.072
YGR001C	4.665	0.113
YDR382W	226.267	0.459
YER167W	0.481	0.069
YPL007C	0.371	0.067
YGR097W	0.395	0.072
YOR281C	4.043	0.11
YDL054C	0.619	0.063
YJL218W	0.687	0.064
YGR204W	10.198	0.112
YHR199C-A	0.417	0.064
YHR192W	1.211	0.064
YGR240C	29.512	0.171
YDL116W	1.058	0.086
YIL158W	1.037	0.08
YPL260W	3.13	0.082
YKL052C	1.536	0.048
YLR133W	0.991	0.073
YBL013W	0.203	0.063
YPR129W	8.578	0.082
YLR139C	0.294	0.081
YBR182C	0.068	0.06
YMR194C-B	0.38	0.048
YAL047C	0.26	0.083
YBL006C	3.493	0.057
YDR487C	8.594	0.096
YNL210W	0.0	0.066
YPL223C	0.069	0.059
YOR007C	19.855	0.121
YER104W	0.583	0.053
YCR031C	154.953	0.75
YJR150C	0.275	0.08
YNL051W	0.648	0.085
YPL086C	2.177	0.097
YJL105W	0.024	0.08
YOR259C	6.475	0.107
YNL125C	0.295	0.069
YGL079W	0.762	0.11
YPL217C	1.767	0.082
YDR466W	0.321	0.083
YBR026C	2.567	0.077
YDL213C	5.294	0.102
YJR101W	1.554	0.074
YML106W	14.291	0.107
YMR231W	0.448	0.078
YNL018C	0.009	0.172
YPR112C	2.279	0.088
YDL181W	2.012	0.147
YDL093W	1.028	0.069
YDL039C	0.002	0.059
YBR288C	1.276	0.086
YLR113W	2.918	0.079
YCL056C	0.299	0.107
YML076C	0.196	0.071
YBR004C	0.557	0.095
YHR115C	1.25	0.081
YGL148W	15.403	0.12
YMR138W	0.411	0.092
YML096W	0.475	0.086
YGL014W	2.115	0.09
YNL106C	0.311	0.074
YDR159W	0.221	0.088
YOR238W	0.65	0.071
YHR056C	0.82	0.424
YBR109C	29.703	0.154
YHR168W	0.173	0.085
YGR134W	0.224	0.073
YPR158C-D	0.337	0.261
YLR307W	0.03	0.067
YBR033W	0.007	0.078
YMR024W	1.23	0.078
YGR094W	13.368	0.125
YDR162C	1.167	0.065
YJR105W	25.875	0.137
YOR154W	0.25	0.089
YCL009C	12.095	0.096
YOR148C	0.442	0.091
YNL328C	0.296	0.103
YHL012W	0.005	0.079
YKL094W	2.128	0.07
YJL101C	0.953	0.077
YHR189W	0.21	0.056
YHR131C	0.163	0.093
YML016C	0.681	0.087
YKR063C	0.357	0.082
YER115C	0.208	0.062
YPL222W	0.217	0.074
YGR112W	0.296	0.074
YDR180W	0.278	0.089
YHR169W	1.433	0.078
YOL089C	0.316	0.076
YDR536W	0.002	0.075
YGR007W	1.662	0.081
YNR001C	3.939	0.103
YAL011W	0.234	0.095
YMR260C	33.452	0.214
YBR031W	27.979	0.981
YML093W	2.369	0.1
YLR256W-A	0.083	0.026
YNL283C	0.8	0.065
YFL048C	3.368	0.095
YGL068W	14.612	0.109
YBR016W	7.952	0.172
YAR002C-A	9.73	0.105
YLR274W	0.983	0.073
YDR201W	1.283	0.058
YAL036C	5.821	0.105
YEL034W	513.744	0.681
YHR085W	0.944	0.079
YDL014W	30.784	0.313
YDR239C	0.515	0.089
YNL311C	0.253	0.074
YDR254W	0.205	0.074
YER023W	26.115	0.126
YDL175C	0.769	0.09
YCR024C-A	77.783	0.765
YER180C-A	1.244	0.085
YDR063W	3.462	0.09
YFL049W	0.534	0.082
YOR077W	0.629	0.06
YPL224C	0.447	0.065
YPR192W	0.02	0.063
YPL254W	0.723	0.071
YOR033C	0.212	0.08
YGR059W	0.004	0.078
YPL065W	0.785	0.063
YHR122W	2.095	0.086
YFL003C	0.01	0.075
YCR020W-B	1.713	0.161
YDL169C	0.061	0.061
YKL117W	29.963	0.247
YNL149C	18.884	0.139
YPR045C	1.167	0.093
YBR145W	0.592	0.191
YBR084W	3.704	0.092
YMR177W	0.46	0.063
YLR092W	0.05	0.077
YNL027W	0.833	0.084
YPR096C	0.01	0.074
YKL084W	2.776	0.044
YOR011W-A	0.001	0.067
YER150W	0.493	0.073
YLR439W	1.145	0.069
YNR069C	0.01	0.085
YCL031C	2.332	0.095
YEL026W	42.935	0.159
YNR061C	2.91	0.052
YGL055W	12.257	0.123
YNL030W	34.486	0.954
YBL069W	2.384	0.067
YLR120C	2.034	0.069
YDL183C	0.161	0.082
YNL248C	6.613	0.103
YBR112C	2.459	0.154
YEL005C	0.17	0.071
YBL036C	4.079	0.11
YGL228W	2.672	0.107
YPR097W	0.842	0.081
YKR005C	0.015	0.074
YLR291C	3.15	0.079
YJL019W	0.519	0.069
YAL027W	0.395	0.082
YNL293W	0.327	0.086
YGL208W	0.491	0.073
YNL199C	0.827	0.085
YPR101W	1.14	0.079
YML113W	1.2	0.125
YDR532C	0.292	0.087
YAL032C	0.586	0.056
YMR161W	2.849	0.103
YJR133W	2.331	0.055
YKL079W	0.475	0.091
YEL002C	6.851	0.09
YMR101C	0.019	0.093
YNR035C	5.401	0.087
YDR343C	0.002	0.949
YHR181W	2.354	0.088
YAL007C	6.836	0.112
YHR144C	0.909	0.07
YJR049C	1.013	0.084
YPR067W	0.691	0.074
YKL064W	0.522	0.081
YNL080C	0.506	0.066
YDL067C	12.593	0.185
YER165W	51.541	0.201
YHR030C	1.194	0.095
YJR112W	0.953	0.054
YNR016C	9.943	0.11
YGL233W	0.575	0.072
YER131W	75.177	0.838
YMR170C	0.292	0.601
YJL200C	2.182	0.099
YML034W	1.223	0.099
YJR033C	0.287	0.07
YDR231C	1.502	0.065
YFL041W	1.747	0.075
YKL090W	0.232	0.064
YPR145W	16.543	0.249
YIL121W	0.99	0.065
YER114C	1.29	0.081
YDR409W	0.255	0.094
YLR200W	5.301	0.111
YHR161C	0.606	0.086
YOR133W	3.908	1.0
YKL043W	0.661	0.087
YBR132C	0.515	0.08
YOL121C	85.682	0.919
YIL114C	1.088	0.056
YOR332W	107.12	0.169
YNR008W	1.157	0.071
YIL082W-A	0.005	0.269
YLR044C	619.14	0.799
YNR039C	0.512	0.079
YLR406C	62.867	0.693
YIR018C-A	0.004	0.268
YHR162W	17.218	0.135
YCR020C-A	2.46	0.131
YML114C	0.471	0.082
YPL148C	0.08	0.047
YJR003C	0.677	0.091
YPL087W	1.214	0.068
YIL067C	0.6	0.066
YBL084C	0.219	0.084
YBR091C	2.034	0.101
YOR266W	0.274	0.074
YMR008C	1.924	0.121
YHR090C	0.711	0.105
YMR296C	3.228	0.079
YNR021W	6.606	0.128
YAL058W	0.679	0.056
YER005W	0.383	0.088
YPL235W	4.283	0.084
YOR311C	1.84	0.08
YLR430W	0.466	0.078
YDL190C	1.228	0.09
YFR052W	6.805	0.071
YGR026W	5.378	0.122
YHR182W	0.181	0.081
YHR193C	85.411	0.252
YEL025C	0.114	0.079
YOL154W	0.141	0.064
YBR023C	0.955	0.076
YOR233W	0.409	0.078
YLR435W	4.989	0.131
YGR109C	0.57	0.104
YBR176W	0.942	0.069
YLR242C	0.26	0.067
YHR036W	0.535	0.066
YGL087C	4.236	0.078
YNL323W	2.3	0.079
YDL117W	0.509	0.084
YKL145W	10.957	0.112
YLR019W	1.114	0.114
YNL193W	0.561	0.071
YJL128C	1.145	0.075
YLR033W	1.107	0.078
YKL053C-A	4.049	0.032
YER090W	8.468	0.064
YKR007W	1.204	0.109
YBL078C	1.442	0.073
YIL107C	0.298	0.074
YLL054C	0.123	0.071
YOR124C	1.267	0.075
YLR250W	4.77	0.105
YMR075W	0.515	0.087
YPL047W	1.037	0.057
