ORF	EL	MM
YDR061W	0.616	0.081
YPR158W-B	0.0	0.087
YPR022C	0.374	0.082
YCR007C	0.089	0.061
YDR488C	0.269	0.075
YGR285C	39.172	0.165
YKR044W	0.255	0.066
YLR272C	0.321	0.073
YOL130W	0.846	0.104
YBR215W	0.726	0.081
YBR135W	2.921	0.167
YOR232W	11.09	0.111
YDR383C	0.38	0.101
YLR225C	1.272	0.073
YIL039W	2.624	0.082
YJR011C	0.448	0.051
YMR167W	0.255	0.059
YAL039C	1.411	0.08
YMR287C	0.157	0.064
YDR234W	2.026	0.099
YBL059C-A	2.143	0.062
YMR056C	0.045	0.065
YCR038C	0.06	0.267
YGL128C	0.399	0.081
YKR058W	0.035	0.067
YGL167C	2.454	0.141
YLR075W	566.238	0.355
YPL156C	0.593	0.089
YJL076W	2.432	0.102
YGL120C	4.137	0.093
YIL040W	2.552	0.061
YAL046C	2.492	0.073
YKR027W	0.313	0.069
YLR376C	0.133	0.078
YBR022W	1.037	0.072
YPR190C	1.07	0.085
YBR107C	0.158	0.073
YJL219W	0.004	0.195
YBL003C	48.679	0.765
YLR058C	30.388	0.173
YNL083W	0.261	0.093
YMR183C	7.334	0.118
YLL049W	0.512	0.081
YDL199C	0.093	0.07
YKR004C	0.198	0.08
YPL019C	10.313	0.098
YOR022C	0.198	0.086
YBR208C	0.551	0.076
YKL056C	165.344	0.299
YMR120C	8.261	0.116
YER049W	3.592	0.086
YPL010W	8.462	0.096
YKL126W	2.003	0.078
YLR240W	0.276	0.072
YLR393W	0.471	0.089
YDR308C	2.272	0.096
YDR389W	0.753	0.085
YPL112C	1.322	0.053
YOL161C	0.001	0.205
YBR007C	0.317	0.086
YDL002C	1.873	0.076
YOR353C	0.382	0.071
YNR074C	0.772	0.087
YML125C	6.357	0.086
YBR205W	4.575	0.094
YOR172W	0.124	0.075
YPR005C	0.075	0.084
YGR080W	2.297	0.086
YFL042C	0.495	0.088
YPL084W	1.061	0.076
YEL049W	0.012	0.226
YOR287C	1.549	0.113
YBR012W-A	0.015	0.094
YMR211W	0.321	0.071
YMR069W	0.084	0.064
YER008C	0.611	0.086
YLR271W	0.205	0.067
YNL291C	0.552	0.064
YHR112C	1.037	0.071
YBR121C	17.529	0.136
YBR068C	4.319	0.085
YAL038W	907.131	0.483
YNL155W	2.363	0.087
YDR287W	0.715	0.073
YDL185W	31.974	0.132
YNL321W	0.644	0.074
YBR009C	33.648	0.948
YPL184C	2.108	0.093
YEL071W	15.195	0.103
YGR218W	4.119	0.096
YBR081C	0.433	0.082
YJL113W	0.0	0.179
YOL052C	2.029	0.072
YNR033W	0.758	0.081
YJL023C	0.281	0.084
YKL215C	0.8	0.087
YGL197W	0.371	0.075
YMR288W	0.497	0.065
YDR115W	4.982	0.181
YEL030W	0.024	0.16
YPL076W	0.306	0.084
YLR168C	0.515	0.075
YMR066W	0.128	0.073
YDR137W	0.41	0.078
YLR128W	0.397	0.096
YMR115W	0.661	0.092
YJR155W	0.004	0.084
YBR212W	1.51	0.103
YBR011C	76.337	0.215
YKL206C	1.346	0.066
YEL001C	7.524	0.084
YMR258C	0.474	0.09
YLR383W	0.213	0.095
YKL162C	0.148	0.074
YDR089W	0.651	0.074
YPL240C	17.611	0.685
YMR194W	65.383	0.631
YLR411W	0.071	0.074
YCR028C	0.646	0.085
YJL062W-A	6.076	0.124
YDR151C	1.29	0.077
YMR269W	1.088	0.141
YNL139C	0.623	0.167
YML036W	1.319	0.084
YGR169C-A	4.499	0.188
YHL048W	0.49	0.645
YLR063W	0.682	0.079
YPR074C	29.22	0.139
YLL043W	1.281	0.096
YER006W	6.281	0.1
YKL154W	1.821	0.071
YOR381W-A	0.002	0.119
YHR097C	0.77	0.089
YLR248W	2.327	0.081
YEL003W	5.375	0.139
YKL133C	0.061	0.076
YDR492W	1.978	0.078
YHL039W	1.217	0.079
YLR258W	0.793	0.072
YJL107C	0.188	0.076
YGR054W	4.748	0.097
YNL294C	0.154	0.084
YBL059W	0.336	0.06
YNL042W-B	0.004	0.262
YBR012W-B	0.008	0.233
YIL092W	0.111	0.072
YOR144C	0.238	0.074
YHR215W	1.489	0.99
YMR302C	0.535	0.074
YHR083W	1.18	0.092
YPL234C	14.488	0.102
YKL047W	0.704	0.073
YER074W-A	5.496	0.107
YHL028W	0.272	0.08
YNL086W	0.619	0.08
YGL219C	1.455	0.065
YPL174C	0.056	0.082
YMR060C	0.722	0.077
YCL021W-A	0.025	0.11
YJR138W	0.178	0.084
YKL210W	11.884	0.11
YLR090W	0.753	0.075
YMR259C	0.646	0.079
YGL166W	2.1	0.066
YMR242C	112.12	0.873
YJL110C	0.687	0.076
YPL140C	0.29	0.08
YBR287W	1.821	0.093
YOR213C	0.457	0.072
YPR041W	14.797	0.137
YMR013C	0.491	0.078
YGR102C	0.816	0.073
YKL091C	0.719	0.075
YNL172W	0.123	0.076
YJR129C	0.338	0.075
YLR125W	0.047	0.082
YDR261W-B	0.008	0.637
YER054C	0.031	0.083
YLL021W	1.533	0.105
YOR184W	10.797	0.112
YFR017C	0.213	0.062
YJL130C	10.32	0.103
YER085C	0.026	0.089
YOL062C	0.624	0.075
YAL029C	0.471	0.075
YOR162C	0.152	0.089
YDR058C	0.206	0.065
YOR094W	1.815	0.09
YCL059C	5.423	0.094
YDR457W	0.824	0.09
YER078C	0.501	0.066
YGR268C	1.171	0.063
YOL042W	0.509	0.087
YJL164C	0.783	0.072
YDR003W-A	0.013	0.118
YEL053C	0.387	0.07
YCR036W	1.652	0.09
YLR174W	0.006	0.073
YIL073C	0.007	0.067
YNL247W	5.914	0.087
YOR126C	0.969	0.078
YPL229W	0.616	0.107
YDR306C	0.334	0.077
YJR132W	1.088	0.071
YFR020W	0.211	0.064
YJL112W	0.313	0.08
YGL082W	1.514	0.073
YIL083C	1.732	0.073
YIL057C	0.075	0.085
YIL085C	0.763	0.087
YDR083W	2.285	0.133
YMR128W	1.333	0.083
YLR115W	0.383	0.077
YNL061W	3.64	0.1
YKR057W	90.95	0.753
YJL070C	0.169	0.073
YOR120W	0.422	0.069
YNL231C	4.964	0.093
YOL147C	1.789	0.075
YBL030C	22.02	0.168
YHR120W	0.182	0.084
YGL159W	0.655	0.085
YOR039W	2.896	0.068
YJR078W	0.117	0.057
YOR005C	0.084	0.077
YMR044W	1.164	0.082
YGR017W	2.52	0.41
YPR161C	0.888	0.076
YOR118W	0.467	0.085
YPR194C	0.018	0.071
YPL094C	5.021	0.096
YGL125W	0.682	0.075
YLR390W	1.519	0.044
YDR087C	4.011	0.1
YFR024C-A	4.496	0.114
YJL010C	1.928	0.082
YHR103W	0.756	0.074
YAR035W	0.047	0.078
YGR277C	1.275	0.081
YPR181C	7.466	0.107
YER070W	6.554	0.126
YKL185W	1.547	0.092
YIL160C	0.009	0.077
YDL156W	0.346	0.087
YKR053C	0.075	0.072
YML075C	1.128	0.079
YLR219W	0.659	0.087
YKR028W	0.906	0.08
YOL109W	144.203	0.4
YJL050W	3.396	0.09
YMR203W	11.224	0.103
YNL224C	0.626	0.093
YMR253C	0.565	0.08
YJL055W	4.241	0.062
YPR028W	20.035	0.139
YOR338W	0.049	0.071
YPL119C-A	0.002	0.111
YDR454C	21.755	0.134
YCR057C	1.77	0.083
YPR173C	1.857	0.078
YOL021C	1.907	0.068
YPL107W	0.427	0.083
YIL014C-A	0.684	0.078
YGL113W	0.108	0.089
YJL084C	0.387	0.082
YOL036W	0.892	0.084
YMR210W	0.485	0.069
YBR066C	1.264	0.062
YJL156C	0.52	0.079
YHR063C	3.094	0.079
YGL174W	0.633	0.082
YOR285W	12.835	0.101
YHL022C	0.044	0.08
YHL020C	0.866	0.105
YML056C	10.362	0.359
YOR297C	1.344	0.121
YDL101C	0.695	0.071
YOL008W	0.917	0.091
YJL038C	0.012	0.072
YKL037W	0.003	0.077
YJL024C	1.723	0.098
YDR366C	0.017	0.418
YLL015W	0.505	0.087
YJR100C	0.495	0.069
YOR254C	4.795	0.076
YEL046C	19.27	0.108
YDR043C	0.57	0.078
YJL006C	0.727	0.083
YPL167C	0.015	0.082
YOR351C	0.001	0.082
YDR002W	41.855	0.268
YDL078C	4.988	0.096
YLR370C	7.118	0.075
YDR414C	0.541	0.075
YNL221C	0.597	0.067
YDR464W	0.465	0.092
YIL041W	11.798	0.091
YGR145W	1.839	0.09
YLR209C	1.873	0.062
YMR195W	2.39	0.064
YOR179C	0.946	0.069
YGL124C	0.248	0.083
YER050C	3.14	0.074
YJL143W	8.287	0.072
